Type of Contact,TypeofOrganization,Subtype,Name of Organization,City,Province,Office or Location or Program,Alternate or Previous Name,Mailing Address,Physical Address,Directions to Address,Postal Code,Phone 1,Phone 1 Ext,Phone 2,Toll Free 1,Toll Free 1 Ext,Fax 1,Fax 2,Email 1,Email 2,Website 1,Website 2,Affiliations,Pronunciation,Region,Region Number,INAC #
First Nations,First Nation Communities,,?aqam,Cranbrook,BC,,St. Mary's Band,7470 Mission Rd.,,,V1C 7E5,250-426-5717,,,,,250-426-8935,,smorigeau@aqam.net,,www.aqam.net,,Ktunaxa Nation Council,,Kootenay,5,602
First Nations,First Nation Communities,,?Esdilagh First Nation,Quesnel,BC,,Alexandria Indian Band,4 - 9001 West Fraser Rd.,,,V2J 6R4,250-747-2255,,,,,,,,,,,Tsilhqot'in National Government Tribal Council,ess-dey-la,Cariboo,6,709
Services and Agencies,Business and Economic Development,,Aboriginal Aquaculture Association,Campbell River,BC,,,1400B Drake. Rd.,1650 Spit Rd.,,V9W 7K6,250-286-9939,,,,,,,info@aboriginalaquaculture.com,,www.aboriginalaquaculture.com,,,,Vancouver Island/Coast,2,
Services and Agencies,Business and Economic Development,,Aboriginal Business Service Network Society,Kamloops,BC,,,208 - 345 Chief Alex Thomas Way,,,V2H 1H1,250-828-9834,,,,,250-828-9972,,,,https://www.facebook.com/bcabsn/,,,,Thompson/Okanagan,4,
Umbrella Organizations,Provincial/Umbrella Organizations,,Aboriginal Business Service Network Society,Kamloops,BC,,,208 - 345 Chief Alex Thomas Way,,,V2H 1H1,250-828-9834,,,,,250-828-9972,,,,https://www.facebook.com/bcabsn/,,,,Thompson/Okanagan,4,
Services and Agencies,Business and Economic Development,,Aboriginal Financial Officers Association of BC,West Vancouver,BC,,,1010-100 Park Royal,,,V7T 1A2,604-925-6370,,,,,604-925-6390,,exec@afoabc.org,,www.afoabc.org,,Aboriginal Financial Officers Association of Canada,,Mainland/Southwest,3,
Services and Agencies,Education,,Aboriginal Front Door Society,Vancouver,BC,,,384 Main St.,,,V6A 2T1,604-697-5662,,,,,,,ed.abfrontdoor@gmail.com,,http://www.abfrontdoor.com/home,,,,Mainland/Southwest,3,
Services and Agencies,Treatment and Healing Services,Non-Residential,Aboriginal Front Door Society,Vancouver,BC,,,384 Main St.,,,V6A 2T1,604-697-5662,,,,,,,info@abfrontdoor.com,,https://www.facebook.com/aboriginal.frontdoor,,,,Mainland/Southwest,3,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,Aboriginal Head Start Association of BC,Duncan,BC,,,PO Box 21058,#106-5462 Trans Canada Hwy,,V9L 0C2,250-858-4543,,250-709-7592,,,,,executivedirector@ahsabc.com,admin@ahsabc.com,www.ahsabc.com,,,,Vancouver Island/Coast,2,
Services and Agencies,Education,,Aboriginal Head Start of Prince Rupert,Prince Rupert,BC,,,PO Box 415,,,V8J 3R2,250-627-4010,,,,,250-627-4422,,,,,,Prince Rupert Aboriginal Justice Society,,North Coast,7,
Services and Agencies,Housing Services,,Aboriginal Homeless Steering Committee Homelessness Partnering Strategy,Vancouver,BC,Community Entity Team,,c/o Lu'ma Native BCH Housing Society,,,,604-876-0811,,,,,604-876-0999,,homelessness@lnhs.ca,,www.lnhs.ca,,Aboriginal Homelessness Steering Committee (Metro Vancouver); Provincial Aboriginal Homelessness Steering Committee,,Mainland/Southwest,3,
Services and Agencies,Housing Services,,Aboriginal Homeless Steering Committee Homelessness Partnering Strategy,Vancouver,BC,,,25 W 6th Ave.,,,V5Y 1K2,604-876-0811,,,,,604-876-0999,,info@lnhs.ca,,www.lnhs.ca,,,,Mainland/Southwest,3,
Services and Agencies,Housing Services,,Aboriginal Housing Management Association,West Vancouver,BC,,,615 - 100 Park Royal South,,,V7T 1A2,604-921-2462,,,1-888-921-2462,,604-921-2463,,reception@ahma-bc.org,,www.ahma-bc.org,,,,Mainland/Southwest,3,
Services and Agencies,Housing Services,,Aboriginal Housing Society of Prince George,Prince George,BC,,,1224 Houston Lane,,,V2L 5G2,250-564-9794,,,,,250-564-9793,,info@ahspg.ca,,www.ahspg.ca ,,,,Nechako,8,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Aboriginal Infant Development and Aboriginal Supported Child Development Provincial Office,Victoria,BC,Aboriginal Supported Child Development Programs of BC,,551 Chatham St.,,,V8T 1E1,250-388-5593,,,1-866-338-4881,,250-388-5502,,advisor.ascdp@bcaafc.com,,www.ascdp.bc.ca,www.aidp.bc.ca,"BCAAFC, Aboriginal Infant Development Programs of BC, Ministry of Children and Family Development",,Vancouver Island/Coast,2,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,Aboriginal Infant Development and Aboriginal Supported Child Development Provincial Office,Victoria,BC,Aboriginal Supported Child Development Programs of BC,,551 Chatham St.,,,V8T 1E1,250-388-5593,,,1-866-338-4881,,250-388-5502,,advisor.ascdp@bcaafc.com,,www.ascdp.bc.ca,www.aidp.bc.ca,"BCAAFC, Aboriginal Infant Development Programs of BC, Ministry of Children and Family Development",,Vancouver Island/Coast,2,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Aboriginal Infant Development and Aboriginal Supported Child Development Provincial Office,Victoria,BC,Aboriginal Infant Development Programs of BC,,551 Chatham St.,,,V8T 1E1,250-388-5593,,,1-866-338-4881,,250-388-5502,,advisor@aidp.bc.ca,,www.aidp.bc.ca,www.ascdp.bc.ca  ,"BCAAFC, Aboriginal Supported Child Development Programs of BC, Ministry of Children and Family Development",,Vancouver Island/Coast,2,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,Aboriginal Infant Development and Aboriginal Supported Child Development Provincial Office,Victoria,BC,Aboriginal Infant Development Programs of BC,,551 Chatham St.,,,V8T 1E1,250-388-5593,,,1-866-338-4881,,250-388-5502,,advisor@aidp.bc.ca,,www.aidp.bc.ca,www.ascdp.bc.ca  ,"BCAAFC, Aboriginal Supported Child Development Programs of BC, Ministry of Children and Family Development",,Vancouver Island/Coast,2,
Services and Agencies,Family and Youth Services,,Aboriginal Infant Development and Aboriginal Supported Child Development Provincial Office,Victoria,BC,Aboriginal Infant Development Programs of BC,,551 Chatham St.,,,V8T 1E1,250-388-5593,,,1-866-338-4881,,250-388-5502,,advisor@aidp.bc.ca,,www.aidp.bc.ca,www.ascdp.bc.ca  ,"BCAAFC, Aboriginal Supported Child Development Programs of BC, Ministry of Children and Family Development",,Vancouver Island/Coast,2,
Services and Agencies,Health Services,,Aboriginal Infant Development and Aboriginal Supported Child Development Provincial Office,Victoria,BC,Aboriginal Supported Child Development Programs of BC,,551 Chatham St.,,,V8T 1E1,250-388-5593,,,1-866-338-4881,,250-388-5502,,advisor.ascdp@bcaafc.com,,www.ascdp.bc.ca,www.aidp.bc.ca,"BCAAFC, Aboriginal Infant Development Programs of BC, Ministry of Children and Family Development",,Vancouver Island/Coast,2,
Services and Agencies,Health Services,,Aboriginal Infant Development and Aboriginal Supported Child Development Provincial Office,Victoria,BC,Aboriginal Infant Development Programs of BC,,551 Chatham St.,,,V8T 1E1,250-388-5593,,,1-866-338-4881,,250-388-5502,,advisor@aidp.bc.ca,,www.aidp.bc.ca,www.ascdp.bc.ca  ,"BCAAFC, Aboriginal Supported Child Development Programs of BC, Ministry of Children and Family Development",,Vancouver Island/Coast,2,
Services and Agencies,Family and Youth Services,,Aboriginal Infant Early Childhood Development Program,Vernon,BC,,,2904 29th Ave.,,,V1T 1Y7,250-542-7578,,,,,250-542-3707,,earlychildhood@fnfc.ca,,,,First Nations Friendship Centre,,Thompson/Okanagan,4,
Services and Agencies,"Employment, Job Search and Placement",,Aboriginal Job Board,Toronto,ON,,,,,,,647-797-3698,,,,,,,terry@aboriginaljobboard.ca,,www.aboriginaljobboard.ca,,,,Out of Province,10,
Services and Agencies,Treatment and Healing Services,Non-Residential,Aboriginal Mother Centre Society,Vancouver,BC,,,2019 Dundas St.,,,V5L 2J7,604-558-2627,,,,,604-558-2628,,info@aboriginalmothercentre.ca,,www.aboriginalmothercentre.ca,,,,Mainland/Southwest,3,
Services and Agencies,Women's Organizations,,Aboriginal Mother Centre Society,Vancouver,BC,,,2019 Dundas St.,,,V5L 2J7,604-558-2627,,,,,604-558-2628,,info@aboriginalmothercentre.ca,,www.aboriginalmothercentre.ca,,,,Mainland/Southwest,3,
Services and Agencies,Arts and Culture,,Aboriginal Tourism Association of British Columbia,West Vancouver,BC,,,Suite 600 - 100 Park Royal South,,,V7T 1A2,604-921-1070,,,1-877-266-2822,,604-921-1072,,info@aboriginalbc.com,,www.aboriginalbc.com,,,,Mainland/Southwest,3,
Services and Agencies,Business and Economic Development,,Aboriginal Tourism Association of British Columbia,West Vancouver,BC,,,Suite 600 - 100 Park Royal South,,,V7T 1A2,604-921-1070,,,1-877-266-2822,,604-921-1072,,info@aboriginalbc.com,,www.aboriginalbc.com,,,,Mainland/Southwest,3,
Services and Agencies,"Employment, Job Search and Placement",,Aboriginal Training Employment Centre (ATEC),Kamloops,BC,,,144 Briar Ave.,,,V2B 1C1,250-554-4556,,,,,250-554-4573,,atecadmn@shuswapnation.org,,www.ateckamloops.ca,,Shuswap Nation Tribal Council,,Thompson/Okanagan,4,
Services and Agencies,Health Services,,Aboriginal Wellness Program,Vancouver,BC,,,255 East 12th Ave.,,,V5T 2H1 ,604-875-6601,,,,,604-875-6609,,aboriginalhealthservices@vch.ca,,,,,,Mainland/Southwest,3,
Services and Agencies,"Employment, Job Search and Placement",,ACCESS (Aboriginal Community Careers Employment Services Society),Vancouver,BC,Aboriginal Connections to Employment (ACE) – Downtown Eastside Site,ACE Office,390 Main St.,,,V6A 2T1,604-687-7480,,,,,604-687-7481,,aceadmin@accessfutures.com ,,www.accessfutures.com,,ACCESS,,Mainland/Southwest,3,
Services and Agencies,"Employment, Job Search and Placement",,ACCESS (Aboriginal Community Careers Employment Services Society),West Vancouver,BC,Trades Department,,109 - 100 Park Royal,,,V7T 1A2,604-922-4077,,,,,604-922-4088,,adminassist@accessfutures.com,,www.accessfutures.com,,,,Mainland/Southwest,3,
Services and Agencies,"Employment, Job Search and Placement",,ACCESS (Aboriginal Community Careers Employment Services Society),Vancouver,BC,Employment Assistance Program (EAS),,110 - 1607 E. Hastings St.,,,V5L 1S7,604-251-7955,,,,,604-251-7954,,adminsupport@accessfutures.com ,,www.accessfutures.com,,,,Mainland/Southwest,3,
